1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000006CB73241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 14:51:01 PST 2023
Mission Sample Count:  2182
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 14:51:01 PST 2023
Total Mission Samples:  2182
Total Device Samples:  25097
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/26/23, 4:51:01 PM,C,16.093
3/26/23, 5:51:01 PM,C,13.588
3/26/23, 6:51:01 PM,C,9.076
3/26/23, 7:51:01 PM,C,7.571
3/26/23, 8:51:01 PM,C,7.571
3/26/23, 9:51:01 PM,C,6.066
3/26/23, 10:51:01 PM,C,7.069
3/26/23, 11:51:01 PM,C,6.066
3/27/23, 12:51:01 AM,C,5.564
3/27/23, 1:51:01 AM,C,3.054
3/27/23, 2:51:01 AM,C,1.045
3/27/23, 3:51:01 AM,C,2.049
3/27/23, 4:51:01 AM,C,0.542
3/27/23, 5:51:01 AM,C,0.542
3/27/23, 6:51:01 AM,C,1.547
3/27/23, 7:51:01 AM,C,10.079
3/27/23, 8:51:01 AM,C,18.096
3/27/23, 9:51:01 AM,C,20.099
3/27/23, 10:51:01 AM,C,20.599
3/27/23, 11:51:01 AM,C,23.101
3/27/23, 12:51:01 PM,C,25.102
3/27/23, 1:51:01 PM,C,25.102
3/27/23, 2:51:01 PM,C,24.101
3/27/23, 3:51:01 PM,C,22.601
3/27/23, 4:51:01 PM,C,21.1
3/27/23, 5:51:01 PM,C,17.095
3/27/23, 6:51:01 PM,C,13.087
3/27/23, 7:51:01 PM,C,7.069
3/27/23, 8:51:01 PM,C,4.56
3/27/23, 9:51:01 PM,C,5.062
3/27/23, 10:51:01 PM,C,6.567
3/27/23, 11:51:01 PM,C,7.571
3/28/23, 12:51:01 AM,C,6.567
3/28/23, 1:51:01 AM,C,7.069
3/28/23, 2:51:01 AM,C,6.567
3/28/23, 3:51:01 AM,C,5.564
3/28/23, 4:51:01 AM,C,4.56
3/28/23, 5:51:01 AM,C,4.56
3/28/23, 6:51:01 AM,C,4.56
3/28/23, 7:51:01 AM,C,13.588
3/28/23, 8:51:01 AM,C,17.596
3/28/23, 9:51:01 AM,C,24.101
3/28/23, 10:51:01 AM,C,27.101
3/28/23, 11:51:01 AM,C,27.101
3/28/23, 12:51:01 PM,C,27.101
3/28/23, 1:51:01 PM,C,26.601
3/28/23, 2:51:01 PM,C,25.602
3/28/23, 3:51:01 PM,C,24.601
3/28/23, 4:51:01 PM,C,21.1
3/28/23, 5:51:01 PM,C,16.594
3/28/23, 6:51:01 PM,C,11.583
3/28/23, 7:51:01 PM,C,10.58
3/28/23, 8:51:01 PM,C,9.577
3/28/23, 9:51:01 PM,C,9.577
3/28/23, 10:51:01 PM,C,9.076
3/28/23, 11:51:01 PM,C,7.069
3/29/23, 12:51:01 AM,C,6.567
3/29/23, 1:51:01 AM,C,6.567
3/29/23, 2:51:01 AM,C,6.066
3/29/23, 3:51:01 AM,C,6.066
3/29/23, 4:51:01 AM,C,6.066
3/29/23, 5:51:01 AM,C,6.567
3/29/23, 6:51:01 AM,C,6.567
3/29/23, 7:51:01 AM,C,7.069
3/29/23, 8:51:01 AM,C,8.073
3/29/23, 9:51:01 AM,C,14.089
3/29/23, 10:51:01 AM,C,16.594
3/29/23, 11:51:01 AM,C,15.592
3/29/23, 12:51:01 PM,C,18.096
3/29/23, 1:51:01 PM,C,20.099
3/29/23, 2:51:01 PM,C,17.095
3/29/23, 3:51:01 PM,C,17.596
3/29/23, 4:51:01 PM,C,11.082
3/29/23, 5:51:01 PM,C,10.58
3/29/23, 6:51:01 PM,C,8.073
3/29/23, 7:51:01 PM,C,7.069
3/29/23, 8:51:01 PM,C,6.066
3/29/23, 9:51:01 PM,C,6.066
3/29/23, 10:51:01 PM,C,6.066
3/29/23, 11:51:01 PM,C,5.062
3/30/23, 12:51:01 AM,C,5.062
3/30/23, 1:51:01 AM,C,5.564
3/30/23, 2:51:01 AM,C,5.564
3/30/23, 3:51:01 AM,C,5.062
3/30/23, 4:51:01 AM,C,3.556
3/30/23, 5:51:01 AM,C,2.551
3/30/23, 6:51:01 AM,C,4.058
3/30/23, 7:51:01 AM,C,5.062
3/30/23, 8:51:01 AM,C,8.574
3/30/23, 9:51:01 AM,C,10.58
3/30/23, 10:51:01 AM,C,12.586
3/30/23, 11:51:01 AM,C,16.594
3/30/23, 12:51:01 PM,C,19.098
3/30/23, 1:51:01 PM,C,15.091
3/30/23, 2:51:01 PM,C,10.58
3/30/23, 3:51:01 PM,C,11.082
3/30/23, 4:51:01 PM,C,14.59
3/30/23, 5:51:01 PM,C,10.58
3/30/23, 6:51:01 PM,C,7.069
3/30/23, 7:51:01 PM,C,6.066
3/30/23, 8:51:01 PM,C,4.058
3/30/23, 9:51:01 PM,C,3.556
3/30/23, 10:51:01 PM,C,4.56
3/30/23, 11:51:01 PM,C,3.054
3/31/23, 12:51:01 AM,C,2.049
3/31/23, 1:51:01 AM,C,3.054
3/31/23, 2:51:01 AM,C,2.049
3/31/23, 3:51:01 AM,C,2.049
3/31/23, 4:51:01 AM,C,1.547
3/31/23, 5:51:01 AM,C,1.045
3/31/23, 6:51:01 AM,C,1.547
3/31/23, 7:51:01 AM,C,9.577
3/31/23, 8:51:01 AM,C,15.091
3/31/23, 9:51:01 AM,C,19.598
3/31/23, 10:51:01 AM,C,21.1
3/31/23, 11:51:01 AM,C,23.101
3/31/23, 12:51:01 PM,C,24.601
3/31/23, 1:51:01 PM,C,23.101
3/31/23, 2:51:01 PM,C,20.599
3/31/23, 3:51:01 PM,C,19.598
3/31/23, 4:51:01 PM,C,15.592
3/31/23, 5:51:01 PM,C,13.588
3/31/23, 6:51:01 PM,C,10.58
3/31/23, 7:51:01 PM,C,9.076
3/31/23, 8:51:01 PM,C,7.571
3/31/23, 9:51:01 PM,C,7.069
3/31/23, 10:51:01 PM,C,7.069
3/31/23, 11:51:01 PM,C,6.567
4/1/23, 12:51:01 AM,C,5.564
4/1/23, 1:51:01 AM,C,4.56
4/1/23, 2:51:01 AM,C,4.56
4/1/23, 3:51:01 AM,C,3.556
4/1/23, 4:51:01 AM,C,3.054
4/1/23, 5:51:01 AM,C,2.551
4/1/23, 6:51:01 AM,C,3.054
4/1/23, 7:51:01 AM,C,15.592
4/1/23, 8:51:01 AM,C,19.598
4/1/23, 9:51:01 AM,C,23.601
4/1/23, 10:51:01 AM,C,27.601
4/1/23, 11:51:01 AM,C,28.101
4/1/23, 12:51:01 PM,C,28.601
4/1/23, 1:51:01 PM,C,28.101
4/1/23, 2:51:01 PM,C,26.601
4/1/23, 3:51:01 PM,C,25.602
4/1/23, 4:51:01 PM,C,22.1
4/1/23, 5:51:01 PM,C,17.095
4/1/23, 6:51:01 PM,C,13.087
4/1/23, 7:51:01 PM,C,10.58
4/1/23, 8:51:01 PM,C,8.574
4/1/23, 9:51:01 PM,C,6.567
4/1/23, 10:51:01 PM,C,6.066
4/1/23, 11:51:01 PM,C,6.066
4/2/23, 12:51:01 AM,C,6.066
4/2/23, 1:51:01 AM,C,5.062
4/2/23, 2:51:01 AM,C,5.062
4/2/23, 3:51:01 AM,C,5.062
4/2/23, 4:51:01 AM,C,5.062
4/2/23, 5:51:01 AM,C,5.062
4/2/23, 6:51:01 AM,C,5.062
4/2/23, 7:51:01 AM,C,15.091
4/2/23, 8:51:01 AM,C,20.599
4/2/23, 9:51:01 AM,C,23.601
4/2/23, 10:51:01 AM,C,25.102
4/2/23, 11:51:01 AM,C,26.102
4/2/23, 12:51:01 PM,C,27.101
4/2/23, 1:51:01 PM,C,27.101
4/2/23, 2:51:01 PM,C,24.601
4/2/23, 3:51:01 PM,C,22.601
4/2/23, 4:51:01 PM,C,20.099
4/2/23, 5:51:01 PM,C,15.592
4/2/23, 6:51:01 PM,C,12.084
4/2/23, 7:51:01 PM,C,11.082
4/2/23, 8:51:01 PM,C,11.082
4/2/23, 9:51:01 PM,C,11.082
4/2/23, 10:51:01 PM,C,11.082
4/2/23, 11:51:01 PM,C,10.079
4/3/23, 12:51:01 AM,C,10.58
4/3/23, 1:51:01 AM,C,10.079
4/3/23, 2:51:01 AM,C,9.577
4/3/23, 3:51:01 AM,C,9.577
4/3/23, 4:51:01 AM,C,9.577
4/3/23, 5:51:01 AM,C,8.073
4/3/23, 6:51:01 AM,C,5.062
4/3/23, 7:51:01 AM,C,14.089
4/3/23, 8:51:01 AM,C,17.095
4/3/23, 9:51:01 AM,C,16.093
4/3/23, 10:51:01 AM,C,20.599
4/3/23, 11:51:01 AM,C,18.096
4/3/23, 12:51:01 PM,C,22.601
4/3/23, 1:51:01 PM,C,21.6
4/3/23, 2:51:01 PM,C,21.6
4/3/23, 3:51:01 PM,C,19.598
4/3/23, 4:51:01 PM,C,15.091
4/3/23, 5:51:01 PM,C,11.583
4/3/23, 6:51:01 PM,C,6.066
4/3/23, 7:51:01 PM,C,5.062
4/3/23, 8:51:01 PM,C,5.564
4/3/23, 9:51:01 PM,C,5.564
4/3/23, 10:51:01 PM,C,5.564
4/3/23, 11:51:01 PM,C,4.56
4/4/23, 12:51:01 AM,C,4.058
4/4/23, 1:51:01 AM,C,1.547
4/4/23, 2:51:01 AM,C,1.045
4/4/23, 3:51:01 AM,C,0.542
4/4/23, 4:51:01 AM,C,1.045
4/4/23, 5:51:01 AM,C,-0.462
4/4/23, 6:51:01 AM,C,0.04
4/4/23, 7:51:01 AM,C,13.588
4/4/23, 8:51:01 AM,C,17.596
4/4/23, 9:51:01 AM,C,18.597
4/4/23, 10:51:01 AM,C,22.601
4/4/23, 11:51:01 AM,C,18.096
4/4/23, 12:51:01 PM,C,24.101
4/4/23, 1:51:01 PM,C,24.101
4/4/23, 2:51:01 PM,C,22.601
4/4/23, 3:51:01 PM,C,17.596
4/4/23, 4:51:01 PM,C,17.596
4/4/23, 5:51:01 PM,C,12.084
4/4/23, 6:51:01 PM,C,9.577
4/4/23, 7:51:01 PM,C,7.571
4/4/23, 8:51:01 PM,C,4.56
4/4/23, 9:51:01 PM,C,4.56
4/4/23, 10:51:01 PM,C,4.56
4/4/23, 11:51:01 PM,C,7.069
4/5/23, 12:51:01 AM,C,6.066
4/5/23, 1:51:01 AM,C,5.062
4/5/23, 2:51:01 AM,C,2.551
4/5/23, 3:51:01 AM,C,4.058
4/5/23, 4:51:01 AM,C,4.56
4/5/23, 5:51:01 AM,C,3.054
4/5/23, 6:51:01 AM,C,2.049
4/5/23, 7:51:01 AM,C,13.588
4/5/23, 8:51:01 AM,C,17.596
4/5/23, 9:51:01 AM,C,22.1
4/5/23, 10:51:01 AM,C,22.1
4/5/23, 11:51:01 AM,C,24.601
4/5/23, 12:51:01 PM,C,26.601
4/5/23, 1:51:01 PM,C,27.601
4/5/23, 2:51:01 PM,C,25.602
4/5/23, 3:51:01 PM,C,25.102
4/5/23, 4:51:01 PM,C,22.1
4/5/23, 5:51:01 PM,C,16.594
4/5/23, 6:51:01 PM,C,11.583
4/5/23, 7:51:01 PM,C,9.577
4/5/23, 8:51:01 PM,C,9.076
4/5/23, 9:51:01 PM,C,8.073
4/5/23, 10:51:01 PM,C,5.564
4/5/23, 11:51:01 PM,C,4.058
4/6/23, 12:51:01 AM,C,7.069
4/6/23, 1:51:01 AM,C,4.56
4/6/23, 2:51:01 AM,C,4.56
4/6/23, 3:51:01 AM,C,6.066
4/6/23, 4:51:01 AM,C,5.062
4/6/23, 5:51:01 AM,C,5.062
4/6/23, 6:51:01 AM,C,4.058
4/6/23, 7:51:01 AM,C,15.592
4/6/23, 8:51:01 AM,C,19.598
4/6/23, 9:51:01 AM,C,24.601
4/6/23, 10:51:01 AM,C,24.101
4/6/23, 11:51:01 AM,C,28.101
4/6/23, 12:51:01 PM,C,29.1
4/6/23, 1:51:01 PM,C,29.6
4/6/23, 2:51:01 PM,C,29.6
4/6/23, 3:51:01 PM,C,28.601
4/6/23, 4:51:01 PM,C,25.602
4/6/23, 5:51:01 PM,C,18.096
4/6/23, 6:51:01 PM,C,13.087
4/6/23, 7:51:01 PM,C,9.076
4/6/23, 8:51:01 PM,C,8.073
4/6/23, 9:51:01 PM,C,6.567
4/6/23, 10:51:01 PM,C,5.564
4/6/23, 11:51:01 PM,C,5.564
4/7/23, 12:51:01 AM,C,7.571
4/7/23, 1:51:01 AM,C,8.073
4/7/23, 2:51:01 AM,C,8.073
4/7/23, 3:51:01 AM,C,8.073
4/7/23, 4:51:01 AM,C,9.076
4/7/23, 5:51:01 AM,C,8.574
4/7/23, 6:51:01 AM,C,8.574
4/7/23, 7:51:01 AM,C,16.594
4/7/23, 8:51:01 AM,C,23.601
4/7/23, 9:51:01 AM,C,27.101
4/7/23, 10:51:01 AM,C,28.601
4/7/23, 11:51:01 AM,C,28.101
4/7/23, 12:51:01 PM,C,29.1
4/7/23, 1:51:01 PM,C,22.601
4/7/23, 2:51:01 PM,C,27.101
4/7/23, 3:51:01 PM,C,25.602
4/7/23, 4:51:01 PM,C,22.1
4/7/23, 5:51:01 PM,C,17.095
4/7/23, 6:51:01 PM,C,14.089
4/7/23, 7:51:01 PM,C,11.583
4/7/23, 8:51:01 PM,C,9.076
4/7/23, 9:51:01 PM,C,8.073
4/7/23, 10:51:01 PM,C,7.069
4/7/23, 11:51:01 PM,C,6.567
4/8/23, 12:51:01 AM,C,8.073
4/8/23, 1:51:01 AM,C,7.069
4/8/23, 2:51:01 AM,C,6.066
4/8/23, 3:51:01 AM,C,7.571
4/8/23, 4:51:01 AM,C,7.571
4/8/23, 5:51:01 AM,C,7.571
4/8/23, 6:51:01 AM,C,7.069
4/8/23, 7:51:01 AM,C,11.583
4/8/23, 8:51:01 AM,C,21.6
4/8/23, 9:51:01 AM,C,25.602
4/8/23, 10:51:01 AM,C,27.101
4/8/23, 11:51:01 AM,C,28.101
4/8/23, 12:51:01 PM,C,29.1
4/8/23, 1:51:01 PM,C,28.101
4/8/23, 2:51:01 PM,C,26.102
4/8/23, 3:51:01 PM,C,27.101
4/8/23, 4:51:01 PM,C,23.101
4/8/23, 5:51:01 PM,C,18.096
4/8/23, 6:51:01 PM,C,15.091
4/8/23, 7:51:01 PM,C,12.586
4/8/23, 8:51:01 PM,C,10.58
4/8/23, 9:51:01 PM,C,9.076
4/8/23, 10:51:01 PM,C,8.073
4/8/23, 11:51:01 PM,C,7.571
4/9/23, 12:51:01 AM,C,7.571
4/9/23, 1:51:01 AM,C,7.571
4/9/23, 2:51:01 AM,C,9.076
4/9/23, 3:51:01 AM,C,7.069
4/9/23, 4:51:01 AM,C,6.567
4/9/23, 5:51:01 AM,C,7.571
4/9/23, 6:51:01 AM,C,7.069
4/9/23, 7:51:01 AM,C,18.597
4/9/23, 8:51:01 AM,C,23.601
4/9/23, 9:51:01 AM,C,27.601
4/9/23, 10:51:01 AM,C,33.595
4/9/23, 11:51:01 AM,C,33.595
4/9/23, 12:51:01 PM,C,35.592
4/9/23, 1:51:01 PM,C,36.091
4/9/23, 2:51:01 PM,C,37.089
4/9/23, 3:51:01 PM,C,35.093
4/9/23, 4:51:01 PM,C,28.601
4/9/23, 5:51:01 PM,C,22.601
4/9/23, 6:51:01 PM,C,18.096
4/9/23, 7:51:01 PM,C,15.091
4/9/23, 8:51:01 PM,C,12.586
4/9/23, 9:51:01 PM,C,11.583
4/9/23, 10:51:01 PM,C,12.084
4/9/23, 11:51:01 PM,C,12.084
4/10/23, 12:51:01 AM,C,10.58
4/10/23, 1:51:01 AM,C,12.586
4/10/23, 2:51:01 AM,C,11.583
4/10/23, 3:51:01 AM,C,11.583
4/10/23, 4:51:01 AM,C,12.084
4/10/23, 5:51:01 AM,C,12.084
4/10/23, 6:51:01 AM,C,12.586
4/10/23, 7:51:01 AM,C,21.1
4/10/23, 8:51:01 AM,C,27.601
4/10/23, 9:51:01 AM,C,31.099
4/10/23, 10:51:01 AM,C,36.091
4/10/23, 11:51:01 AM,C,36.59
4/10/23, 12:51:01 PM,C,36.091
4/10/23, 1:51:01 PM,C,36.091
4/10/23, 2:51:01 PM,C,34.095
4/10/23, 3:51:01 PM,C,32.597
4/10/23, 4:51:01 PM,C,29.1
4/10/23, 5:51:01 PM,C,22.601
4/10/23, 6:51:01 PM,C,19.098
4/10/23, 7:51:01 PM,C,16.093
4/10/23, 8:51:01 PM,C,14.59
4/10/23, 9:51:01 PM,C,13.087
4/10/23, 10:51:01 PM,C,12.586
4/10/23, 11:51:01 PM,C,12.586
4/11/23, 12:51:01 AM,C,12.586
4/11/23, 1:51:01 AM,C,12.084
4/11/23, 2:51:01 AM,C,11.583
4/11/23, 3:51:01 AM,C,10.58
4/11/23, 4:51:01 AM,C,10.079
4/11/23, 5:51:01 AM,C,7.571
4/11/23, 6:51:01 AM,C,8.073
4/11/23, 7:51:01 AM,C,20.599
4/11/23, 8:51:01 AM,C,26.102
4/11/23, 9:51:01 AM,C,30.1
4/11/23, 10:51:01 AM,C,31.598
4/11/23, 11:51:01 AM,C,32.098
4/11/23, 12:51:01 PM,C,33.096
4/11/23, 1:51:01 PM,C,31.099
4/11/23, 2:51:01 PM,C,31.099
4/11/23, 3:51:01 PM,C,31.099
4/11/23, 4:51:01 PM,C,25.602
4/11/23, 5:51:01 PM,C,21.1
4/11/23, 6:51:01 PM,C,18.096
4/11/23, 7:51:01 PM,C,14.089
4/11/23, 8:51:01 PM,C,12.084
4/11/23, 9:51:01 PM,C,11.082
4/11/23, 10:51:01 PM,C,11.082
4/11/23, 11:51:01 PM,C,9.577
4/12/23, 12:51:01 AM,C,9.577
4/12/23, 1:51:01 AM,C,8.574
4/12/23, 2:51:01 AM,C,10.079
4/12/23, 3:51:01 AM,C,10.58
4/12/23, 4:51:01 AM,C,10.58
4/12/23, 5:51:01 AM,C,10.58
4/12/23, 6:51:01 AM,C,10.58
4/12/23, 7:51:01 AM,C,11.082
4/12/23, 8:51:01 AM,C,11.583
4/12/23, 9:51:01 AM,C,13.087
4/12/23, 10:51:01 AM,C,15.091
4/12/23, 11:51:01 AM,C,20.099
4/12/23, 12:51:01 PM,C,24.101
4/12/23, 1:51:01 PM,C,21.1
4/12/23, 2:51:01 PM,C,19.098
4/12/23, 3:51:01 PM,C,16.594
4/12/23, 4:51:01 PM,C,14.089
4/12/23, 5:51:01 PM,C,13.588
4/12/23, 6:51:01 PM,C,12.084
4/12/23, 7:51:01 PM,C,11.583
4/12/23, 8:51:01 PM,C,11.082
4/12/23, 9:51:01 PM,C,11.082
4/12/23, 10:51:01 PM,C,11.082
4/12/23, 11:51:01 PM,C,11.082
4/13/23, 12:51:01 AM,C,11.082
4/13/23, 1:51:01 AM,C,11.082
4/13/23, 2:51:01 AM,C,11.082
4/13/23, 3:51:01 AM,C,11.082
4/13/23, 4:51:01 AM,C,11.082
4/13/23, 5:51:01 AM,C,11.082
4/13/23, 6:51:01 AM,C,10.58
4/13/23, 7:51:01 AM,C,11.082
4/13/23, 8:51:01 AM,C,21.1
4/13/23, 9:51:01 AM,C,24.101
4/13/23, 10:51:01 AM,C,17.596
4/13/23, 11:51:01 AM,C,16.093
4/13/23, 12:51:01 PM,C,15.592
4/13/23, 1:51:01 PM,C,16.594
4/13/23, 2:51:01 PM,C,15.091
4/13/23, 3:51:01 PM,C,14.089
4/13/23, 4:51:01 PM,C,14.089
4/13/23, 5:51:01 PM,C,12.586
4/13/23, 6:51:01 PM,C,11.583
4/13/23, 7:51:01 PM,C,11.082
4/13/23, 8:51:01 PM,C,10.58
4/13/23, 9:51:01 PM,C,10.079
4/13/23, 10:51:01 PM,C,9.076
4/13/23, 11:51:01 PM,C,8.574
4/14/23, 12:51:01 AM,C,8.073
4/14/23, 1:51:01 AM,C,6.066
4/14/23, 2:51:01 AM,C,4.56
4/14/23, 3:51:01 AM,C,4.058
4/14/23, 4:51:01 AM,C,5.564
4/14/23, 5:51:01 AM,C,3.556
4/14/23, 6:51:01 AM,C,6.567
4/14/23, 7:51:01 AM,C,8.574
4/14/23, 8:51:01 AM,C,19.098
4/14/23, 9:51:01 AM,C,22.1
4/14/23, 10:51:01 AM,C,24.101
4/14/23, 11:51:01 AM,C,25.602
4/14/23, 12:51:01 PM,C,26.102
4/14/23, 1:51:01 PM,C,25.602
4/14/23, 2:51:01 PM,C,23.601
4/14/23, 3:51:01 PM,C,25.102
4/14/23, 4:51:01 PM,C,21.6
4/14/23, 5:51:01 PM,C,15.091
4/14/23, 6:51:01 PM,C,12.586
4/14/23, 7:51:01 PM,C,10.079
4/14/23, 8:51:01 PM,C,7.571
4/14/23, 9:51:01 PM,C,6.567
4/14/23, 10:51:01 PM,C,5.564
4/14/23, 11:51:01 PM,C,5.062
4/15/23, 12:51:01 AM,C,5.564
4/15/23, 1:51:01 AM,C,5.062
4/15/23, 2:51:01 AM,C,5.564
4/15/23, 3:51:01 AM,C,6.066
4/15/23, 4:51:01 AM,C,6.066
4/15/23, 5:51:01 AM,C,5.564
4/15/23, 6:51:01 AM,C,5.564
4/15/23, 7:51:01 AM,C,13.087
4/15/23, 8:51:01 AM,C,19.598
4/15/23, 9:51:01 AM,C,24.601
4/15/23, 10:51:01 AM,C,28.101
4/15/23, 11:51:01 AM,C,30.1
4/15/23, 12:51:01 PM,C,32.098
4/15/23, 1:51:01 PM,C,34.095
4/15/23, 2:51:01 PM,C,32.098
4/15/23, 3:51:01 PM,C,29.1
4/15/23, 4:51:01 PM,C,25.602
4/15/23, 5:51:01 PM,C,19.098
4/15/23, 6:51:01 PM,C,15.592
4/15/23, 7:51:01 PM,C,10.58
4/15/23, 8:51:01 PM,C,8.574
4/15/23, 9:51:01 PM,C,7.571
4/15/23, 10:51:01 PM,C,10.079
4/15/23, 11:51:01 PM,C,8.073
4/16/23, 12:51:01 AM,C,6.066
4/16/23, 1:51:01 AM,C,6.567
4/16/23, 2:51:01 AM,C,7.069
4/16/23, 3:51:01 AM,C,7.069
4/16/23, 4:51:01 AM,C,6.066
4/16/23, 5:51:01 AM,C,6.066
4/16/23, 6:51:01 AM,C,7.571
4/16/23, 7:51:01 AM,C,15.091
4/16/23, 8:51:01 AM,C,20.099
4/16/23, 9:51:01 AM,C,26.601
4/16/23, 10:51:01 AM,C,29.6
4/16/23, 11:51:01 AM,C,29.6
4/16/23, 12:51:01 PM,C,28.101
4/16/23, 1:51:01 PM,C,28.601
4/16/23, 2:51:01 PM,C,29.6
4/16/23, 3:51:01 PM,C,27.601
4/16/23, 4:51:01 PM,C,24.101
4/16/23, 5:51:01 PM,C,18.096
4/16/23, 6:51:01 PM,C,15.091
4/16/23, 7:51:01 PM,C,12.586
4/16/23, 8:51:01 PM,C,9.076
4/16/23, 9:51:01 PM,C,7.571
4/16/23, 10:51:01 PM,C,7.069
4/16/23, 11:51:01 PM,C,7.571
4/17/23, 12:51:01 AM,C,6.567
4/17/23, 1:51:01 AM,C,6.066
4/17/23, 2:51:01 AM,C,5.564
4/17/23, 3:51:01 AM,C,6.567
4/17/23, 4:51:01 AM,C,5.564
4/17/23, 5:51:01 AM,C,5.062
4/17/23, 6:51:01 AM,C,6.066
4/17/23, 7:51:01 AM,C,11.082
4/17/23, 8:51:01 AM,C,15.592
4/17/23, 9:51:01 AM,C,17.095
4/17/23, 10:51:01 AM,C,19.098
4/17/23, 11:51:01 AM,C,24.101
4/17/23, 12:51:01 PM,C,25.102
4/17/23, 1:51:01 PM,C,25.102
4/17/23, 2:51:01 PM,C,24.601
4/17/23, 3:51:01 PM,C,22.601
4/17/23, 4:51:01 PM,C,19.598
4/17/23, 5:51:01 PM,C,14.59
4/17/23, 6:51:01 PM,C,11.583
4/17/23, 7:51:01 PM,C,11.082
4/17/23, 8:51:01 PM,C,11.583
4/17/23, 9:51:01 PM,C,12.084
4/17/23, 10:51:01 PM,C,11.583
4/17/23, 11:51:01 PM,C,11.583
4/18/23, 12:51:01 AM,C,11.583
4/18/23, 1:51:01 AM,C,11.583
4/18/23, 2:51:01 AM,C,11.583
4/18/23, 3:51:01 AM,C,10.58
4/18/23, 4:51:01 AM,C,10.079
4/18/23, 5:51:01 AM,C,9.577
4/18/23, 6:51:01 AM,C,10.58
4/18/23, 7:51:01 AM,C,11.583
4/18/23, 8:51:01 AM,C,15.592
4/18/23, 9:51:01 AM,C,24.601
4/18/23, 10:51:01 AM,C,28.101
4/18/23, 11:51:01 AM,C,29.6
4/18/23, 12:51:01 PM,C,22.1
4/18/23, 1:51:01 PM,C,21.6
4/18/23, 2:51:01 PM,C,27.101
4/18/23, 3:51:01 PM,C,25.602
4/18/23, 4:51:01 PM,C,20.599
4/18/23, 5:51:01 PM,C,16.594
4/18/23, 6:51:01 PM,C,14.089
4/18/23, 7:51:01 PM,C,10.58
4/18/23, 8:51:01 PM,C,8.574
4/18/23, 9:51:01 PM,C,7.069
4/18/23, 10:51:01 PM,C,6.567
4/18/23, 11:51:01 PM,C,5.564
4/19/23, 12:51:01 AM,C,4.56
4/19/23, 1:51:01 AM,C,3.556
4/19/23, 2:51:01 AM,C,3.054
4/19/23, 3:51:01 AM,C,2.551
4/19/23, 4:51:01 AM,C,2.049
4/19/23, 5:51:01 AM,C,3.054
4/19/23, 6:51:01 AM,C,6.066
4/19/23, 7:51:01 AM,C,11.583
4/19/23, 8:51:01 AM,C,15.592
4/19/23, 9:51:01 AM,C,18.096
4/19/23, 10:51:01 AM,C,22.1
4/19/23, 11:51:01 AM,C,24.101
4/19/23, 12:51:01 PM,C,28.101
4/19/23, 1:51:01 PM,C,27.601
4/19/23, 2:51:01 PM,C,27.601
4/19/23, 3:51:01 PM,C,25.602
4/19/23, 4:51:01 PM,C,23.101
4/19/23, 5:51:01 PM,C,16.594
4/19/23, 6:51:01 PM,C,12.586
4/19/23, 7:51:01 PM,C,11.583
4/19/23, 8:51:01 PM,C,11.082
4/19/23, 9:51:01 PM,C,11.583
4/19/23, 10:51:01 PM,C,10.079
4/19/23, 11:51:01 PM,C,9.577
4/20/23, 12:51:01 AM,C,9.076
4/20/23, 1:51:01 AM,C,7.571
4/20/23, 2:51:01 AM,C,8.073
4/20/23, 3:51:01 AM,C,8.073
4/20/23, 4:51:01 AM,C,9.076
4/20/23, 5:51:01 AM,C,7.069
4/20/23, 6:51:01 AM,C,9.076
4/20/23, 7:51:01 AM,C,18.597
4/20/23, 8:51:01 AM,C,25.602
4/20/23, 9:51:01 AM,C,26.601
4/20/23, 10:51:01 AM,C,29.1
4/20/23, 11:51:01 AM,C,32.098
4/20/23, 12:51:01 PM,C,32.098
4/20/23, 1:51:01 PM,C,33.096
4/20/23, 2:51:01 PM,C,32.597
4/20/23, 3:51:01 PM,C,32.098
4/20/23, 4:51:01 PM,C,29.1
4/20/23, 5:51:01 PM,C,20.599
4/20/23, 6:51:01 PM,C,15.592
4/20/23, 7:51:01 PM,C,14.089
4/20/23, 8:51:01 PM,C,11.583
4/20/23, 9:51:01 PM,C,11.082
4/20/23, 10:51:01 PM,C,10.079
4/20/23, 11:51:01 PM,C,9.076
4/21/23, 12:51:01 AM,C,10.58
4/21/23, 1:51:01 AM,C,8.574
4/21/23, 2:51:01 AM,C,7.571
4/21/23, 3:51:01 AM,C,7.571
4/21/23, 4:51:01 AM,C,7.069
4/21/23, 5:51:01 AM,C,9.076
4/21/23, 6:51:01 AM,C,9.577
4/21/23, 7:51:01 AM,C,21.6
4/21/23, 8:51:01 AM,C,27.601
4/21/23, 9:51:01 AM,C,33.096
4/21/23, 10:51:01 AM,C,37.089
4/21/23, 11:51:01 AM,C,38.585
4/21/23, 12:51:01 PM,C,39.084
