1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 540000006CB59041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:05:01 PST 2023
Mission Sample Count:  2182
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 02 15:05:01 PST 2023
Total Mission Samples:  2182
Total Device Samples:  25122
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/27/23, 10:05:01 PM,C,6.608
3/27/23, 11:05:01 PM,C,8.615
3/28/23, 12:05:01 AM,C,8.615
3/28/23, 1:05:01 AM,C,6.608
3/28/23, 2:05:01 AM,C,6.608
3/28/23, 3:05:01 AM,C,6.608
3/28/23, 4:05:01 AM,C,5.102
3/28/23, 5:05:01 AM,C,4.6
3/28/23, 6:05:01 AM,C,4.6
3/28/23, 7:05:01 AM,C,4.6
3/28/23, 8:05:01 AM,C,11.123
3/28/23, 9:05:01 AM,C,16.135
3/28/23, 10:05:01 AM,C,23.142
3/28/23, 11:05:01 AM,C,29.141
3/28/23, 12:05:01 PM,C,28.641
3/28/23, 1:05:01 PM,C,25.643
3/28/23, 2:05:01 PM,C,26.142
3/28/23, 3:05:01 PM,C,25.143
3/28/23, 4:05:01 PM,C,23.142
3/28/23, 5:05:01 PM,C,19.64
3/28/23, 6:05:01 PM,C,14.632
3/28/23, 7:05:01 PM,C,11.123
3/28/23, 8:05:01 PM,C,10.12
3/28/23, 9:05:01 PM,C,9.619
3/28/23, 10:05:01 PM,C,9.619
3/28/23, 11:05:01 PM,C,9.117
3/29/23, 12:05:01 AM,C,7.11
3/29/23, 1:05:01 AM,C,6.608
3/29/23, 2:05:01 AM,C,6.106
3/29/23, 3:05:01 AM,C,6.608
3/29/23, 4:05:01 AM,C,6.106
3/29/23, 5:05:01 AM,C,6.106
3/29/23, 6:05:01 AM,C,6.608
3/29/23, 7:05:01 AM,C,6.608
3/29/23, 8:05:01 AM,C,7.612
3/29/23, 9:05:01 AM,C,8.114
3/29/23, 10:05:01 AM,C,12.627
3/29/23, 11:05:01 AM,C,17.637
3/29/23, 12:05:01 PM,C,16.135
3/29/23, 1:05:01 PM,C,18.138
3/29/23, 2:05:01 PM,C,17.136
3/29/23, 3:05:01 PM,C,15.634
3/29/23, 4:05:01 PM,C,19.64
3/29/23, 5:05:01 PM,C,11.123
3/29/23, 6:05:01 PM,C,9.619
3/29/23, 7:05:01 PM,C,7.612
3/29/23, 8:05:01 PM,C,6.608
3/29/23, 9:05:01 PM,C,6.608
3/29/23, 10:05:01 PM,C,6.106
3/29/23, 11:05:01 PM,C,6.106
3/30/23, 12:05:01 AM,C,4.6
3/30/23, 1:05:01 AM,C,5.102
3/30/23, 2:05:01 AM,C,5.102
3/30/23, 3:05:01 AM,C,5.604
3/30/23, 4:05:01 AM,C,5.102
3/30/23, 5:05:01 AM,C,4.098
3/30/23, 6:05:01 AM,C,3.094
3/30/23, 7:05:01 AM,C,4.6
3/30/23, 8:05:01 AM,C,5.604
3/30/23, 9:05:01 AM,C,9.117
3/30/23, 10:05:01 AM,C,13.128
3/30/23, 11:05:01 AM,C,12.627
3/30/23, 12:05:01 PM,C,17.136
3/30/23, 1:05:01 PM,C,22.142
3/30/23, 2:05:01 PM,C,10.12
3/30/23, 3:05:01 PM,C,11.624
3/30/23, 4:05:01 PM,C,13.128
3/30/23, 5:05:01 PM,C,18.138
3/30/23, 6:05:01 PM,C,10.622
3/30/23, 7:05:01 PM,C,7.11
3/30/23, 8:05:01 PM,C,6.106
3/30/23, 9:05:01 PM,C,4.6
3/30/23, 10:05:01 PM,C,5.604
3/30/23, 11:05:01 PM,C,4.6
3/31/23, 12:05:01 AM,C,4.098
3/31/23, 1:05:01 AM,C,4.098
3/31/23, 2:05:01 AM,C,3.094
3/31/23, 3:05:01 AM,C,2.591
3/31/23, 4:05:01 AM,C,2.591
3/31/23, 5:05:01 AM,C,2.089
3/31/23, 6:05:01 AM,C,1.587
3/31/23, 7:05:01 AM,C,1.587
3/31/23, 8:05:01 AM,C,8.114
3/31/23, 9:05:01 AM,C,13.128
3/31/23, 10:05:01 AM,C,18.638
3/31/23, 11:05:01 AM,C,22.142
3/31/23, 12:05:01 PM,C,25.143
3/31/23, 1:05:01 PM,C,27.642
3/31/23, 2:05:01 PM,C,25.143
3/31/23, 3:05:01 PM,C,20.641
3/31/23, 4:05:01 PM,C,19.64
3/31/23, 5:05:01 PM,C,15.133
3/31/23, 6:05:01 PM,C,13.128
3/31/23, 7:05:01 PM,C,10.622
3/31/23, 8:05:01 PM,C,9.117
3/31/23, 9:05:01 PM,C,8.114
3/31/23, 10:05:01 PM,C,8.114
3/31/23, 11:05:01 PM,C,8.114
4/1/23, 12:05:01 AM,C,7.612
4/1/23, 1:05:01 AM,C,6.106
4/1/23, 2:05:01 AM,C,6.608
4/1/23, 3:05:01 AM,C,6.106
4/1/23, 4:05:01 AM,C,5.604
4/1/23, 5:05:01 AM,C,4.6
4/1/23, 6:05:01 AM,C,4.6
4/1/23, 7:05:01 AM,C,4.098
4/1/23, 8:05:01 AM,C,11.624
4/1/23, 9:05:01 AM,C,16.635
4/1/23, 10:05:01 AM,C,21.641
4/1/23, 11:05:01 AM,C,28.641
4/1/23, 12:05:01 PM,C,30.14
4/1/23, 1:05:01 PM,C,28.142
4/1/23, 2:05:01 PM,C,28.142
4/1/23, 3:05:01 PM,C,26.142
4/1/23, 4:05:01 PM,C,24.643
4/1/23, 5:05:01 PM,C,22.642
4/1/23, 6:05:01 PM,C,16.135
4/1/23, 7:05:01 PM,C,12.627
4/1/23, 8:05:01 PM,C,10.622
4/1/23, 9:05:01 PM,C,9.619
4/1/23, 10:05:01 PM,C,8.615
4/1/23, 11:05:01 PM,C,8.114
4/2/23, 12:05:01 AM,C,8.114
4/2/23, 1:05:01 AM,C,8.114
4/2/23, 2:05:01 AM,C,7.11
4/2/23, 3:05:01 AM,C,5.604
4/2/23, 4:05:01 AM,C,6.106
4/2/23, 5:05:01 AM,C,6.106
4/2/23, 6:05:01 AM,C,6.106
4/2/23, 7:05:01 AM,C,5.102
4/2/23, 8:05:01 AM,C,12.627
4/2/23, 9:05:01 AM,C,17.637
4/2/23, 10:05:01 AM,C,21.641
4/2/23, 11:05:01 AM,C,23.642
4/2/23, 12:05:01 PM,C,26.642
4/2/23, 1:05:01 PM,C,27.642
4/2/23, 2:05:01 PM,C,26.142
4/2/23, 3:05:01 PM,C,23.142
4/2/23, 4:05:01 PM,C,21.141
4/2/23, 5:05:01 PM,C,20.641
4/2/23, 6:05:01 PM,C,14.632
4/2/23, 7:05:01 PM,C,12.126
4/2/23, 8:05:01 PM,C,11.624
4/2/23, 9:05:01 PM,C,11.123
4/2/23, 10:05:01 PM,C,11.123
4/2/23, 11:05:01 PM,C,10.622
4/3/23, 12:05:01 AM,C,10.622
4/3/23, 1:05:01 AM,C,10.622
4/3/23, 2:05:01 AM,C,10.12
4/3/23, 3:05:01 AM,C,10.12
4/3/23, 4:05:01 AM,C,9.619
4/3/23, 5:05:01 AM,C,9.619
4/3/23, 6:05:01 AM,C,7.612
4/3/23, 7:05:01 AM,C,6.106
4/3/23, 8:05:01 AM,C,12.126
4/3/23, 9:05:01 AM,C,13.629
4/3/23, 10:05:01 AM,C,14.632
4/3/23, 11:05:01 AM,C,19.64
4/3/23, 12:05:01 PM,C,18.638
4/3/23, 1:05:01 PM,C,21.141
4/3/23, 2:05:01 PM,C,22.142
4/3/23, 3:05:01 PM,C,22.142
4/3/23, 4:05:01 PM,C,18.638
4/3/23, 5:05:01 PM,C,18.138
4/3/23, 6:05:01 PM,C,11.624
4/3/23, 7:05:01 PM,C,7.612
4/3/23, 8:05:01 PM,C,6.106
4/3/23, 9:05:01 PM,C,5.604
4/3/23, 10:05:01 PM,C,5.604
4/3/23, 11:05:01 PM,C,5.102
4/4/23, 12:05:01 AM,C,5.604
4/4/23, 1:05:01 AM,C,4.098
4/4/23, 2:05:01 AM,C,3.596
4/4/23, 3:05:01 AM,C,2.591
4/4/23, 4:05:01 AM,C,2.089
4/4/23, 5:05:01 AM,C,2.089
4/4/23, 6:05:01 AM,C,2.089
4/4/23, 7:05:01 AM,C,2.089
4/4/23, 8:05:01 AM,C,9.619
4/4/23, 9:05:01 AM,C,13.629
4/4/23, 10:05:01 AM,C,15.634
4/4/23, 11:05:01 AM,C,20.641
4/4/23, 12:05:01 PM,C,21.141
4/4/23, 1:05:01 PM,C,23.642
4/4/23, 2:05:01 PM,C,26.142
4/4/23, 3:05:01 PM,C,25.143
4/4/23, 4:05:01 PM,C,18.638
4/4/23, 5:05:01 PM,C,18.138
4/4/23, 6:05:01 PM,C,13.128
4/4/23, 7:05:01 PM,C,9.117
4/4/23, 8:05:01 PM,C,7.612
4/4/23, 9:05:01 PM,C,6.106
4/4/23, 10:05:01 PM,C,5.102
4/4/23, 11:05:01 PM,C,6.106
4/5/23, 12:05:01 AM,C,7.11
4/5/23, 1:05:01 AM,C,6.608
4/5/23, 2:05:01 AM,C,5.102
4/5/23, 3:05:01 AM,C,4.098
4/5/23, 4:05:01 AM,C,5.102
4/5/23, 5:05:01 AM,C,3.596
4/5/23, 6:05:01 AM,C,4.098
4/5/23, 7:05:01 AM,C,3.596
4/5/23, 8:05:01 AM,C,10.622
4/5/23, 9:05:01 AM,C,14.632
4/5/23, 10:05:01 AM,C,17.637
4/5/23, 11:05:01 AM,C,19.64
4/5/23, 12:05:01 PM,C,23.142
4/5/23, 1:05:01 PM,C,24.143
4/5/23, 2:05:01 PM,C,26.642
4/5/23, 3:05:01 PM,C,24.643
4/5/23, 4:05:01 PM,C,27.142
4/5/23, 5:05:01 PM,C,27.142
4/5/23, 6:05:01 PM,C,16.135
4/5/23, 7:05:01 PM,C,11.624
4/5/23, 8:05:01 PM,C,10.622
4/5/23, 9:05:01 PM,C,10.622
4/5/23, 10:05:01 PM,C,9.117
4/5/23, 11:05:01 PM,C,7.612
4/6/23, 12:05:01 AM,C,5.604
4/6/23, 1:05:01 AM,C,6.608
4/6/23, 2:05:01 AM,C,6.608
4/6/23, 3:05:01 AM,C,5.604
4/6/23, 4:05:01 AM,C,6.608
4/6/23, 5:05:01 AM,C,5.604
4/6/23, 6:05:01 AM,C,5.604
4/6/23, 7:05:01 AM,C,5.102
4/6/23, 8:05:01 AM,C,12.126
4/6/23, 9:05:01 AM,C,17.136
4/6/23, 10:05:01 AM,C,20.641
4/6/23, 11:05:01 AM,C,21.641
4/6/23, 12:05:01 PM,C,25.143
4/6/23, 1:05:01 PM,C,28.142
4/6/23, 2:05:01 PM,C,28.142
4/6/23, 3:05:01 PM,C,28.142
4/6/23, 4:05:01 PM,C,31.638
4/6/23, 5:05:01 PM,C,29.141
4/6/23, 6:05:01 PM,C,17.136
4/6/23, 7:05:01 PM,C,13.128
4/6/23, 8:05:01 PM,C,11.123
4/6/23, 9:05:01 PM,C,8.615
4/6/23, 10:05:01 PM,C,7.11
4/6/23, 11:05:01 PM,C,9.117
4/7/23, 12:05:01 AM,C,7.612
4/7/23, 1:05:01 AM,C,8.615
4/7/23, 2:05:01 AM,C,9.619
4/7/23, 3:05:01 AM,C,9.117
4/7/23, 4:05:01 AM,C,9.117
4/7/23, 5:05:01 AM,C,9.117
4/7/23, 6:05:01 AM,C,8.615
4/7/23, 7:05:01 AM,C,9.117
4/7/23, 8:05:01 AM,C,14.131
4/7/23, 9:05:01 AM,C,20.641
4/7/23, 10:05:01 AM,C,25.143
4/7/23, 11:05:01 AM,C,28.142
4/7/23, 12:05:01 PM,C,29.141
4/7/23, 1:05:01 PM,C,29.64
4/7/23, 2:05:01 PM,C,29.64
4/7/23, 3:05:01 PM,C,27.142
4/7/23, 4:05:01 PM,C,24.643
4/7/23, 5:05:01 PM,C,21.141
4/7/23, 6:05:01 PM,C,16.635
4/7/23, 7:05:01 PM,C,13.629
4/7/23, 8:05:01 PM,C,11.123
4/7/23, 9:05:01 PM,C,10.12
4/7/23, 10:05:01 PM,C,8.615
4/7/23, 11:05:01 PM,C,8.114
4/8/23, 12:05:01 AM,C,9.117
4/8/23, 1:05:01 AM,C,9.117
4/8/23, 2:05:01 AM,C,8.114
4/8/23, 3:05:01 AM,C,8.114
4/8/23, 4:05:01 AM,C,8.114
4/8/23, 5:05:01 AM,C,8.114
4/8/23, 6:05:01 AM,C,7.612
4/8/23, 7:05:01 AM,C,8.114
4/8/23, 8:05:01 AM,C,11.123
4/8/23, 9:05:01 AM,C,18.138
4/8/23, 10:05:01 AM,C,24.143
4/8/23, 11:05:01 AM,C,26.642
4/8/23, 12:05:01 PM,C,30.639
4/8/23, 1:05:01 PM,C,31.638
4/8/23, 2:05:01 PM,C,31.139
4/8/23, 3:05:01 PM,C,24.643
4/8/23, 4:05:01 PM,C,25.143
4/8/23, 5:05:01 PM,C,23.642
4/8/23, 6:05:01 PM,C,17.637
4/8/23, 7:05:01 PM,C,14.632
4/8/23, 8:05:01 PM,C,12.126
4/8/23, 9:05:01 PM,C,11.624
4/8/23, 10:05:01 PM,C,10.12
4/8/23, 11:05:01 PM,C,10.12
4/9/23, 12:05:01 AM,C,8.615
4/9/23, 1:05:01 AM,C,9.117
4/9/23, 2:05:01 AM,C,9.619
4/9/23, 3:05:01 AM,C,9.619
4/9/23, 4:05:01 AM,C,8.114
4/9/23, 5:05:01 AM,C,8.615
4/9/23, 6:05:01 AM,C,8.615
4/9/23, 7:05:01 AM,C,8.615
4/9/23, 8:05:01 AM,C,14.632
4/9/23, 9:05:01 AM,C,20.14
4/9/23, 10:05:01 AM,C,24.143
4/9/23, 11:05:01 AM,C,31.139
4/9/23, 12:05:01 PM,C,33.136
4/9/23, 1:05:01 PM,C,34.134
4/9/23, 2:05:01 PM,C,36.629
4/9/23, 3:05:01 PM,C,39.122
4/9/23, 4:05:01 PM,C,39.122
4/9/23, 5:05:01 PM,C,32.137
4/9/23, 6:05:01 PM,C,23.142
4/9/23, 7:05:01 PM,C,18.138
4/9/23, 8:05:01 PM,C,14.632
4/9/23, 9:05:01 PM,C,14.131
4/9/23, 10:05:01 PM,C,12.627
4/9/23, 11:05:01 PM,C,14.632
4/10/23, 12:05:01 AM,C,13.629
4/10/23, 1:05:01 AM,C,13.128
4/10/23, 2:05:01 AM,C,13.629
4/10/23, 3:05:01 AM,C,12.627
4/10/23, 4:05:01 AM,C,12.126
4/10/23, 5:05:01 AM,C,12.126
4/10/23, 6:05:01 AM,C,12.627
4/10/23, 7:05:01 AM,C,12.627
4/10/23, 8:05:01 AM,C,17.637
4/10/23, 9:05:01 AM,C,23.142
4/10/23, 10:05:01 AM,C,27.642
4/10/23, 11:05:01 AM,C,33.635
4/10/23, 12:05:01 PM,C,37.127
4/10/23, 1:05:01 PM,C,37.127
4/10/23, 2:05:01 PM,C,37.626
4/10/23, 3:05:01 PM,C,33.635
4/10/23, 4:05:01 PM,C,33.136
4/10/23, 5:05:01 PM,C,33.136
4/10/23, 6:05:01 PM,C,21.141
4/10/23, 7:05:01 PM,C,18.138
4/10/23, 8:05:01 PM,C,17.136
4/10/23, 9:05:01 PM,C,15.133
4/10/23, 10:05:01 PM,C,13.629
4/10/23, 11:05:01 PM,C,14.632
4/11/23, 12:05:01 AM,C,14.131
4/11/23, 1:05:01 AM,C,13.128
4/11/23, 2:05:01 AM,C,13.128
4/11/23, 3:05:01 AM,C,12.126
4/11/23, 4:05:01 AM,C,10.622
4/11/23, 5:05:01 AM,C,10.622
4/11/23, 6:05:01 AM,C,9.117
4/11/23, 7:05:01 AM,C,10.12
4/11/23, 8:05:01 AM,C,16.635
4/11/23, 9:05:01 AM,C,22.142
4/11/23, 10:05:01 AM,C,27.142
4/11/23, 11:05:01 AM,C,30.14
4/11/23, 12:05:01 PM,C,32.137
4/11/23, 1:05:01 PM,C,33.635
4/11/23, 2:05:01 PM,C,33.136
4/11/23, 3:05:01 PM,C,30.639
4/11/23, 4:05:01 PM,C,33.635
4/11/23, 5:05:01 PM,C,26.142
4/11/23, 6:05:01 PM,C,19.64
4/11/23, 7:05:01 PM,C,17.136
4/11/23, 8:05:01 PM,C,14.632
4/11/23, 9:05:01 PM,C,12.627
4/11/23, 10:05:01 PM,C,12.627
4/11/23, 11:05:01 PM,C,11.624
4/12/23, 12:05:01 AM,C,10.12
4/12/23, 1:05:01 AM,C,10.12
4/12/23, 2:05:01 AM,C,9.619
4/12/23, 3:05:01 AM,C,10.622
4/12/23, 4:05:01 AM,C,10.622
4/12/23, 5:05:01 AM,C,11.123
4/12/23, 6:05:01 AM,C,10.622
4/12/23, 7:05:01 AM,C,11.123
4/12/23, 8:05:01 AM,C,12.126
4/12/23, 9:05:01 AM,C,13.128
4/12/23, 10:05:01 AM,C,14.632
4/12/23, 11:05:01 AM,C,17.136
4/12/23, 12:05:01 PM,C,21.641
4/12/23, 1:05:01 PM,C,28.142
4/12/23, 2:05:01 PM,C,25.143
4/12/23, 3:05:01 PM,C,17.136
4/12/23, 4:05:01 PM,C,16.135
4/12/23, 5:05:01 PM,C,14.632
4/12/23, 6:05:01 PM,C,14.632
4/12/23, 7:05:01 PM,C,12.627
4/12/23, 8:05:01 PM,C,12.126
4/12/23, 9:05:01 PM,C,12.126
4/12/23, 10:05:01 PM,C,12.126
4/12/23, 11:05:01 PM,C,11.624
4/13/23, 12:05:01 AM,C,11.624
4/13/23, 1:05:01 AM,C,11.123
4/13/23, 2:05:01 AM,C,11.624
4/13/23, 3:05:01 AM,C,11.624
4/13/23, 4:05:01 AM,C,11.123
4/13/23, 5:05:01 AM,C,11.123
4/13/23, 6:05:01 AM,C,11.123
4/13/23, 7:05:01 AM,C,11.123
4/13/23, 8:05:01 AM,C,12.126
4/13/23, 9:05:01 AM,C,19.139
4/13/23, 10:05:01 AM,C,21.141
4/13/23, 11:05:01 AM,C,17.637
4/13/23, 12:05:01 PM,C,16.635
4/13/23, 1:05:01 PM,C,17.637
4/13/23, 2:05:01 PM,C,16.135
4/13/23, 3:05:01 PM,C,14.632
4/13/23, 4:05:01 PM,C,13.629
4/13/23, 5:05:01 PM,C,13.128
4/13/23, 6:05:01 PM,C,12.126
4/13/23, 7:05:01 PM,C,11.123
4/13/23, 8:05:01 PM,C,11.123
4/13/23, 9:05:01 PM,C,10.622
4/13/23, 10:05:01 PM,C,9.619
4/13/23, 11:05:01 PM,C,8.615
4/14/23, 12:05:01 AM,C,8.114
4/14/23, 1:05:01 AM,C,8.114
4/14/23, 2:05:01 AM,C,6.106
4/14/23, 3:05:01 AM,C,5.102
4/14/23, 4:05:01 AM,C,5.604
4/14/23, 5:05:01 AM,C,6.106
4/14/23, 6:05:01 AM,C,5.102
4/14/23, 7:05:01 AM,C,6.608
4/14/23, 8:05:01 AM,C,9.619
4/14/23, 9:05:01 AM,C,17.136
4/14/23, 10:05:01 AM,C,19.139
4/14/23, 11:05:01 AM,C,27.142
4/14/23, 12:05:01 PM,C,30.14
4/14/23, 1:05:01 PM,C,31.139
4/14/23, 2:05:01 PM,C,28.641
4/14/23, 3:05:01 PM,C,29.64
4/14/23, 4:05:01 PM,C,30.14
4/14/23, 5:05:01 PM,C,26.642
4/14/23, 6:05:01 PM,C,15.634
4/14/23, 7:05:01 PM,C,12.126
4/14/23, 8:05:01 PM,C,9.619
4/14/23, 9:05:01 PM,C,8.615
4/14/23, 10:05:01 PM,C,7.612
4/14/23, 11:05:01 PM,C,6.608
4/15/23, 12:05:01 AM,C,6.106
4/15/23, 1:05:01 AM,C,7.11
4/15/23, 2:05:01 AM,C,6.608
4/15/23, 3:05:01 AM,C,6.608
4/15/23, 4:05:01 AM,C,6.608
4/15/23, 5:05:01 AM,C,6.106
4/15/23, 6:05:01 AM,C,5.604
4/15/23, 7:05:01 AM,C,6.106
4/15/23, 8:05:01 AM,C,10.12
4/15/23, 9:05:01 AM,C,15.133
4/15/23, 10:05:01 AM,C,22.142
4/15/23, 11:05:01 AM,C,28.142
4/15/23, 12:05:01 PM,C,33.136
4/15/23, 1:05:01 PM,C,36.13
4/15/23, 2:05:01 PM,C,39.122
4/15/23, 3:05:01 PM,C,33.635
4/15/23, 4:05:01 PM,C,30.639
4/15/23, 5:05:01 PM,C,27.642
4/15/23, 6:05:01 PM,C,18.138
4/15/23, 7:05:01 PM,C,14.632
4/15/23, 8:05:01 PM,C,11.624
4/15/23, 9:05:01 PM,C,9.619
4/15/23, 10:05:01 PM,C,8.615
4/15/23, 11:05:01 PM,C,10.622
4/16/23, 12:05:01 AM,C,9.619
4/16/23, 1:05:01 AM,C,7.11
4/16/23, 2:05:01 AM,C,8.615
4/16/23, 3:05:01 AM,C,8.615
4/16/23, 4:05:01 AM,C,8.114
4/16/23, 5:05:01 AM,C,8.114
4/16/23, 6:05:01 AM,C,7.612
4/16/23, 7:05:01 AM,C,8.114
4/16/23, 8:05:01 AM,C,13.128
4/16/23, 9:05:01 AM,C,18.638
4/16/23, 10:05:01 AM,C,24.143
4/16/23, 11:05:01 AM,C,30.14
4/16/23, 12:05:01 PM,C,29.64
4/16/23, 1:05:01 PM,C,28.142
4/16/23, 2:05:01 PM,C,32.137
4/16/23, 3:05:01 PM,C,32.637
4/16/23, 4:05:01 PM,C,33.136
4/16/23, 5:05:01 PM,C,29.64
4/16/23, 6:05:01 PM,C,17.637
4/16/23, 7:05:01 PM,C,14.131
4/16/23, 8:05:01 PM,C,11.624
4/16/23, 9:05:01 PM,C,10.12
4/16/23, 10:05:01 PM,C,9.619
4/16/23, 11:05:01 PM,C,8.615
4/17/23, 12:05:01 AM,C,9.619
4/17/23, 1:05:01 AM,C,7.11
4/17/23, 2:05:01 AM,C,7.11
4/17/23, 3:05:01 AM,C,8.114
4/17/23, 4:05:01 AM,C,8.114
4/17/23, 5:05:01 AM,C,7.612
4/17/23, 6:05:01 AM,C,6.608
4/17/23, 7:05:01 AM,C,7.612
4/17/23, 8:05:01 AM,C,12.126
4/17/23, 9:05:01 AM,C,17.637
4/17/23, 10:05:01 AM,C,19.139
4/17/23, 11:05:01 AM,C,21.641
4/17/23, 12:05:01 PM,C,26.642
4/17/23, 1:05:01 PM,C,29.141
4/17/23, 2:05:01 PM,C,25.643
4/17/23, 3:05:01 PM,C,25.143
4/17/23, 4:05:01 PM,C,22.642
4/17/23, 5:05:01 PM,C,21.141
4/17/23, 6:05:01 PM,C,15.133
4/17/23, 7:05:01 PM,C,12.126
4/17/23, 8:05:01 PM,C,12.126
4/17/23, 9:05:01 PM,C,12.627
4/17/23, 10:05:01 PM,C,12.627
4/17/23, 11:05:01 PM,C,12.126
4/18/23, 12:05:01 AM,C,12.126
4/18/23, 1:05:01 AM,C,12.126
4/18/23, 2:05:01 AM,C,11.123
4/18/23, 3:05:01 AM,C,11.123
4/18/23, 4:05:01 AM,C,10.622
4/18/23, 5:05:01 AM,C,10.12
4/18/23, 6:05:01 AM,C,10.12
4/18/23, 7:05:01 AM,C,11.123
4/18/23, 8:05:01 AM,C,12.126
4/18/23, 9:05:01 AM,C,16.135
4/18/23, 10:05:01 AM,C,25.643
4/18/23, 11:05:01 AM,C,29.141
4/18/23, 12:05:01 PM,C,34.633
4/18/23, 1:05:01 PM,C,24.643
4/18/23, 2:05:01 PM,C,22.642
4/18/23, 3:05:01 PM,C,25.143
4/18/23, 4:05:01 PM,C,24.143
4/18/23, 5:05:01 PM,C,23.642
4/18/23, 6:05:01 PM,C,16.135
4/18/23, 7:05:01 PM,C,13.629
4/18/23, 8:05:01 PM,C,10.622
4/18/23, 9:05:01 PM,C,9.619
4/18/23, 10:05:01 PM,C,8.114
4/18/23, 11:05:01 PM,C,8.114
4/19/23, 12:05:01 AM,C,7.11
4/19/23, 1:05:01 AM,C,5.604
4/19/23, 2:05:01 AM,C,4.098
4/19/23, 3:05:01 AM,C,3.596
4/19/23, 4:05:01 AM,C,3.596
4/19/23, 5:05:01 AM,C,3.596
4/19/23, 6:05:01 AM,C,4.6
4/19/23, 7:05:01 AM,C,6.106
4/19/23, 8:05:01 AM,C,11.123
4/19/23, 9:05:01 AM,C,13.629
4/19/23, 10:05:01 AM,C,17.136
4/19/23, 11:05:01 AM,C,22.642
4/19/23, 12:05:01 PM,C,25.143
4/19/23, 1:05:01 PM,C,27.642
4/19/23, 2:05:01 PM,C,29.64
4/19/23, 3:05:01 PM,C,29.64
4/19/23, 4:05:01 PM,C,29.64
4/19/23, 5:05:01 PM,C,27.642
4/19/23, 6:05:01 PM,C,18.138
4/19/23, 7:05:01 PM,C,12.627
4/19/23, 8:05:01 PM,C,11.624
4/19/23, 9:05:01 PM,C,11.624
4/19/23, 10:05:01 PM,C,10.622
4/19/23, 11:05:01 PM,C,10.622
4/20/23, 12:05:01 AM,C,10.12
4/20/23, 1:05:01 AM,C,9.619
4/20/23, 2:05:01 AM,C,9.117
4/20/23, 3:05:01 AM,C,8.114
4/20/23, 4:05:01 AM,C,9.619
4/20/23, 5:05:01 AM,C,9.117
4/20/23, 6:05:01 AM,C,7.612
4/20/23, 7:05:01 AM,C,10.622
4/20/23, 8:05:01 AM,C,15.634
4/20/23, 9:05:01 AM,C,20.641
4/20/23, 10:05:01 AM,C,24.643
4/20/23, 11:05:01 AM,C,29.64
4/20/23, 12:05:01 PM,C,33.635
4/20/23, 1:05:01 PM,C,31.139
4/20/23, 2:05:01 PM,C,32.637
4/20/23, 3:05:01 PM,C,34.633
4/20/23, 4:05:01 PM,C,34.134
4/20/23, 5:05:01 PM,C,31.139
4/20/23, 6:05:01 PM,C,21.141
4/20/23, 7:05:01 PM,C,16.135
4/20/23, 8:05:01 PM,C,15.133
4/20/23, 9:05:01 PM,C,13.128
4/20/23, 10:05:01 PM,C,12.126
4/20/23, 11:05:01 PM,C,11.123
4/21/23, 12:05:01 AM,C,12.126
4/21/23, 1:05:01 AM,C,10.12
4/21/23, 2:05:01 AM,C,9.117
4/21/23, 3:05:01 AM,C,8.114
4/21/23, 4:05:01 AM,C,8.114
4/21/23, 5:05:01 AM,C,7.612
4/21/23, 6:05:01 AM,C,10.622
4/21/23, 7:05:01 AM,C,12.126
4/21/23, 8:05:01 AM,C,16.635
4/21/23, 9:05:01 AM,C,22.642
4/21/23, 10:05:01 AM,C,28.142
4/21/23, 11:05:01 AM,C,34.134
4/21/23, 12:05:01 PM,C,39.62
4/21/23, 1:05:01 PM,C,40.119
4/21/23, 2:05:01 PM,C,43.607
4/21/23, 3:05:01 PM,C,42.112
4/21/23, 4:05:01 PM,C,43.607
4/21/23, 5:05:01 PM,C,37.127
4/21/23, 6:05:01 PM,C,25.643
4/21/23, 7:05:01 PM,C,19.64
4/21/23, 8:05:01 PM,C,17.136
4/21/23, 9:05:01 PM,C,17.136
4/21/23, 10:05:01 PM,C,15.634
4/21/23, 11:05:01 PM,C,14.632
4/22/23, 12:05:01 AM,C,16.135
4/22/23, 1:05:01 AM,C,17.136
4/22/23, 2:05:01 AM,C,12.627
4/22/23, 3:05:01 AM,C,10.622
4/22/23, 4:05:01 AM,C,10.12
4/22/23, 5:05:01 AM,C,9.117
4/22/23, 6:05:01 AM,C,9.619
4/22/23, 7:05:01 AM,C,14.131
4/22/23, 8:05:01 AM,C,19.139
4/22/23, 9:05:01 AM,C,25.143
4/22/23, 10:05:01 AM,C,29.64
4/22/23, 11:05:01 AM,C,34.134
4/22/23, 12:05:01 PM,C,36.13
4/22/23, 1:05:01 PM,C,37.127
4/22/23, 2:05:01 PM,C,42.112
4/22/23, 3:05:01 PM,C,42.611
4/22/23, 4:05:01 PM,C,38.623
4/22/23, 5:05:01 PM,C,35.132
4/22/23, 6:05:01 PM,C,25.143
